Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Comparison/1000000/find/vector-hashtables,2.8769133885813056e-3,2.8694519322464197e-3,2.888310529586202e-3,3.0666017819763034e-5,1.773331473761632e-5,5.1602515452668854e-5
Comparison/1000000/find/vector-hashtables (frozen),1.6028880723148132e-3,1.5890290032043724e-3,1.6203718742824854e-3,5.286100295149251e-5,3.9863283148322207e-5,7.585925277379133e-5
Comparison/1000000/lookupIndex/hashtables basic,9.90792762867282e-3,9.782039924763066e-3,1.0078534358832452e-2,3.9195517326631496e-4,3.151200207690431e-4,4.892467540338712e-4
Comparison/1000000/lookupIndex/vector-hashtables,2.7131561977089894e-3,2.701364955634495e-3,2.72752185680879e-3,4.246380083032581e-5,3.601794247085675e-5,5.314396359388008e-5
Comparison/1000000/fromList/hashtables basic,0.13242595298752782,0.1262908287679325,0.14207934228979865,1.1387212098169088e-2,7.763348381670392e-3,1.4482110141846347e-2
Comparison/1000000/fromList/vector-hashtables,2.7158847731942336e-2,2.520800030542757e-2,2.91582967762132e-2,4.280599036655403e-3,3.227438199177293e-3,6.222282919602584e-3
Comparison/1000000/toList/hashtables basic,3.829266015909298e-2,3.733084402964917e-2,4.017353650507709e-2,2.7088474651475684e-3,1.6930693360666432e-3,4.466386367218294e-3
Comparison/1000000/toList/vector-hashtables,6.1491157528219376e-2,5.9915272490161924e-2,6.404034390458643e-2,3.5976627771831327e-3,2.4816409950662124e-3,5.0625228037029365e-3
Utilities/1000/at',2.44912157126593e-6,2.4452879086505737e-6,2.454823532948698e-6,1.5029820272378378e-8,1.1412846730240375e-8,2.290840961507433e-8
Utilities/1000/insert,4.196212084945842e-6,4.184634509103401e-6,4.218340600419069e-6,5.235326869608885e-8,3.527614754639248e-8,8.443486300507326e-8
Utilities/1000/delete,2.4411439797455417e-6,2.4243013195642333e-6,2.4644713265035283e-6,6.522121492689101e-8,4.853129376838587e-8,8.696454746046243e-8
Utilities/1000/lookup,2.4653950838072726e-6,2.4475486526221463e-6,2.5079618102252995e-6,8.719628406983634e-8,4.112662173745885e-8,1.6452815338886475e-7
Utilities/1000/lookup',2.5188108484175604e-6,2.509277830056153e-6,2.5326118782181332e-6,3.724749744541159e-8,2.793043440073375e-8,5.153956133060389e-8
Utilities/1000/lookupIndex,2.319683704279982e-6,2.3096431469113946e-6,2.342084708574259e-6,4.9086411323088e-8,2.5971896626366497e-8,9.822847170897489e-8
Utilities/1000/null,5.608117707677857e-9,5.466536356314475e-9,5.764558097322318e-9,4.723229555835688e-10,4.0834098798005283e-10,6.238449165918608e-10
Utilities/1000/length,4.8619095767970926e-9,4.727235933940077e-9,5.01302943115641e-9,4.663834481772115e-10,3.9717312129933327e-10,6.589954283126102e-10
Utilities/1000/size,5.411491110802043e-9,5.2734075929670585e-9,5.547270432777567e-9,4.4148701062027964e-10,3.7598441792850423e-10,5.884357266925157e-10
Utilities/1000/member,2.3100813610630897e-6,2.302948206010471e-6,2.318276793945321e-6,2.6170589219406254e-8,2.30722911096838e-8,3.1078420072204176e-8
Utilities/1000/findWithDefault,2.443414235679636e-6,2.43606408525766e-6,2.452301881530018e-6,2.7170666044984932e-8,2.205806571590045e-8,4.010674955874783e-8
Utilities/1000/upsert,9.83649324654703e-6,9.794300302181029e-6,9.895257237008347e-6,1.6013630869779962e-7,1.3165061993980986e-7,2.0580205252575992e-7
Utilities/1000/alter,6.796431176703424e-6,6.773681957296808e-6,6.819390365745283e-6,7.672707580412292e-8,6.25782541971991e-8,8.769073894762808e-8
Utilities/1000/alterM,6.652878164590055e-6,6.639543255991888e-6,6.66820886607659e-6,4.9298675399623966e-8,4.001281107416234e-8,6.838769028641521e-8
Utilities/1000/union,1.843721126874428e-5,1.829347705382839e-5,1.858866883241077e-5,4.885386218035924e-7,4.2591547458131854e-7,5.911286378477404e-7
Utilities/1000/difference,7.929967272376326e-6,7.900005658822734e-6,7.965707192302095e-6,1.1210674919513424e-7,9.66750334834804e-8,1.3652924850878232e-7
Utilities/1000/intersection,2.13542414674394e-5,2.1093682772789603e-5,2.1890301983602633e-5,1.1924925506029959e-6,8.053227542292904e-7,2.0262135616332386e-6
Utilities/1000/fromList,1.607182316652602e-5,1.5930168715634716e-5,1.6290560506890286e-5,5.902260918060728e-7,4.3803658144619367e-7,8.121394896107936e-7
Utilities/1000/toList,4.516674540046965e-6,4.485354685133656e-6,4.557603507875245e-6,1.208163499655316e-7,9.450733337382811e-8,1.6893679034370885e-7
Utilities/10000/at',2.5165903727004978e-5,2.497956469623628e-5,2.592632782456216e-5,9.778373924730496e-7,3.2993823637700527e-7,2.11456038485218e-6
Utilities/10000/insert,4.0657184589009876e-5,4.053367906085615e-5,4.077843041498228e-5,4.177611055872763e-7,3.60130193347495e-7,5.034891501225624e-7
Utilities/10000/delete,2.3736531650002394e-5,2.3686256272085638e-5,2.380027763793913e-5,1.848487351614745e-7,1.5364024544857868e-7,2.4656792135636835e-7
Utilities/10000/lookup,2.4116306309352266e-5,2.406145079512061e-5,2.4179093134200794e-5,1.9170560575839924e-7,1.5470624021391243e-7,2.502657647064564e-7
Utilities/10000/lookup',2.431650154768217e-5,2.4276027715356166e-5,2.442670081180333e-5,2.1800935479050664e-7,1.042399418921652e-7,4.185705181325517e-7
Utilities/10000/lookupIndex,2.2677876740733636e-5,2.2651420704598553e-5,2.271452097857448e-5,1.0623042278792772e-7,7.984594739347119e-8,1.5747274089568788e-7
Utilities/10000/null,5.997618002371869e-9,5.8756236110358086e-9,6.045299605926703e-9,2.437647653973336e-10,1.0526974191263516e-10,4.309413667060262e-10
Utilities/10000/length,5.800253354702139e-9,5.629005600770066e-9,5.918608003045456e-9,4.5644227364430777e-10,3.111102239777257e-10,7.630148825275387e-10
Utilities/10000/size,5.27587919537224e-9,5.159086033349521e-9,5.363752782702644e-9,3.36287923290889e-10,2.1734287002770154e-10,5.028613170876084e-10
Utilities/10000/member,2.2757420650968694e-5,2.270659252738286e-5,2.284003360707709e-5,2.0953639843345097e-7,1.4518251200793923e-7,2.9695590679602553e-7
Utilities/10000/findWithDefault,2.4031197562785383e-5,2.4006187518372216e-5,2.4059326901624424e-5,8.63972125768272e-8,7.25315892170015e-8,1.100063311879381e-7
Utilities/10000/upsert,9.758390247350745e-5,9.737268798619701e-5,9.781579317124092e-5,7.190234761584978e-7,6.413195134781656e-7,8.383783973540735e-7
Utilities/10000/alter,6.683232964295798e-5,6.670834613886536e-5,6.702996686044125e-5,5.113061731837181e-7,3.455551344503306e-7,7.298240030538905e-7
Utilities/10000/alterM,6.63874583369905e-5,6.626789021912134e-5,6.654272538700426e-5,4.482185214929184e-7,3.441582282245073e-7,5.625712096549504e-7
Utilities/10000/union,1.627688756874991e-4,1.616866298651368e-4,1.6442853583929128e-4,4.235598037105688e-6,3.3762316788572616e-6,5.782799157164947e-6
Utilities/10000/difference,8.85759641103985e-5,8.813273608842254e-5,8.912731965481717e-5,1.6396481431884432e-6,1.268121653971038e-6,2.229295248829731e-6
Utilities/10000/intersection,2.100728174059028e-4,2.079864691631816e-4,2.1313723194009375e-4,8.54459985057129e-6,5.624287505417623e-6,1.1764964059353913e-5
